locA	locB	share border	is international
Velingara	Labe	0	1
Velingara	Mali	0	1
Velingara	Tougue	0	1
Velingara	Dalaba	0	1
Velingara	Mamou	0	1
Velingara	Pita	0	1
Velingara	Beyla	0	1
Velingara	Gueckedou	0	1
Velingara	Lola	0	1
Velingara	Macenta	0	1
Velingara	Nzerekore	0	1
Velingara	Yamou	0	1
Velingara	Kailahun	0	1
Velingara	Kenema	0	1
Velingara	Kono	0	1
Velingara	Bombali	0	1
Velingara	Kambia	0	1
Velingara	Koinadugu	0	1
Velingara	PortLoko	0	1
Velingara	Tonkolili	0	1
Velingara	Bo	0	1
Velingara	Bonthe	0	1
Velingara	Moyamba	0	1
Velingara	Pujehun	0	1
Velingara	WesternRural	0	1
Velingara	WesternUrban	0	1
Velingara	Gabu	1	1
Velingara	Tombali	0	1
Tambacounda	Kenieba	0	1
Tambacounda	Kita	0	1
Tambacounda	Kangaba	0	1
Tambacounda	Kati	0	1
Tambacounda	Yanfolila	0	1
Tambacounda	SanPedro	0	1
Tambacounda	Folon	0	1
Tambacounda	Kabadougou	0	1
Tambacounda	Cavally	0	1
Tambacounda	Tonkpi	0	1
Tambacounda	Bafing	0	1
Tambacounda	Bomi	0	1
Tambacounda	Bong	0	1
Tambacounda	Gbarpolu	0	1
Tambacounda	GrandCapeMount	0	1
Tambacounda	GrandBassa	0	1
Tambacounda	GrandGedeh	0	1
Tambacounda	GrandKru	0	1
Tambacounda	Lofa	0	1
Tambacounda	Margibi	0	1
Tambacounda	Maryland	0	1
Tambacounda	Montserrado	0	1
Tambacounda	Nimba	0	1
Tambacounda	RiverCess	0	1
Tambacounda	RiverGee	0	1
Tambacounda	Sinoe	0	1
Tambacounda	Boffa	0	1
Tambacounda	Boke	0	1
Tambacounda	Fria	0	1
Tambacounda	Gaoual	0	1
Tambacounda	Koundara	1	1
Tambacounda	Conakry	0	1
Tambacounda	Dabola	0	1
Tambacounda	Dinguiraye	0	1
Tambacounda	Faranah	0	1
Tambacounda	Kissidougou	0	1
Tambacounda	Kerouane	0	1
Tambacounda	Kankan	0	1
