Location,XML_Order,ID_0,ISO,NAME_0,ID_1,NAME_1,VARNAME_1,TYPE_1,ID_2,NAME_2,VARNAME_2,TYPE_2,Location_Admin_Level,Pop_Centroid_X,Pop_Centroid_Y,Case_counts_WHO,Sequence_count,Area_km_2,Pop_Size,geconMN,geconMIN,geconMAX,geconSTD,pdensMN,langV1,langV2,langV3,langV4,langV5,langV6,langV7,langV8,langV9,langV10,langV11,langV12,langV13,langV14,langV15,langV16,langV17,tt50kMN,tt100kMN,tt500kMN,altMN,tempMN,tmpssMN,precMN,precssMN,pre01MN,pre02MN,pre03MN,pre04MN,pre05MN,pre06MN,pre07MN,pre08MN,pre09MN,pre10MN,pre11MN,pre12MN,hum01MN,hum02MN,hum03MN,hum04MN,hum05MN,hum06MN,hum07MN,hum08MN,hum09MN,hum10MN,hum11MN,hum12MN
Kouroussa,28,96,GIN,Guinea,4,Kankan,,Region,13,Kouroussa,,Préfecture,2,-9.87548026,10.64791979,22,2,15844.81,197242,0.120693266,0.054474153,0.164237782,0.026527815,12.39715097,0,0.946509278,0.053490722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.6609223,227.9445242,239.9481942,428.0281383,259.0156915,1821.449362,1501.161383,95.99005319,1.244897963,4.773469402,21.63673473,59.06938779,131.4836731,198.6163265,255.1387765,330.1408174,311.7285729,169.5285707,30.23061225,3.775510207,16.78571432,16.46530603,14.922449,13.20408157,11.51020406,9.969387755,8.577551024,7.78367353,9.38571422,10.82040822,13.97755105,16.36530627
Labe,37,96,GIN,Guinea,6,Labé,,Region,22,Labé,,Préfecture,2,-12.28362152,11.31614729,0,0,2111.87,313715,0.135368836,0.072448865,0.261998683,0.04753101,148.419805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.2935523,103.2935523,103.2935523,923.2490989,222.2975571,1709.559071,1682.061674,101.5798959,1.050000012,2.266666651,6.466666778,35.79999956,132.4000028,219.2166646,327.9833374,371.5666606,313.0166728,160.3833288,41.71666654,3.716666659,15.60000006,15.44999997,14.25,12.76666673,11.16666651,9.733333429,7.950000127,4.933333317,8.833333174,10.1500001,13.05000003,15.54999987
Lelouma,38,96,GIN,Guinea,6,Labé,,Region,23,Lélouma,,Préfecture,2,-12.68493514,11.41045837,0,0,2728.23,144433,0.120988294,0.079340219,0.244166389,0.040425057,52.48165963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211.0180871,220.258737,220.258737,630.1535868,243.4077253,1778.667075,1795.347639,104.4126303,0.812500006,1.712500013,5.4375,31.87499928,124.7000008,221.4624996,347.1624985,410.2125053,342.4750023,190.9625015,61.07500029,3.512500048,15.5999999,15.48750007,14.29999983,12.86249995,11.33749986,9.762499809,7.875,4.487499952,8.762499809,10.0999999,13.03750002,15.5
Lola,46,96,GIN,Guinea,8,Nzérékoré,,Region,31,Lola,,Préfecture,2,-8.52624969,7.79972499,118,2,4489.79,214082,0.206215307,0.114458174,0.286633462,0.037254542,47.49082866,0,0.775278775,0,0,0,0,0.106974107,0.108864109,0.008883009,0,0,0,0,0,0,0,0,200.8954038,200.8954038,202.1736334,545.4624551,241.6137696,970.1628523,1801.126915,65.25893702,10.16923075,40.6923074,90.88461538,147.5307699,154.9461541,203.4384613,239.0230783,308.3615347,320.1692341,157.2384632,59.26923106,20.5923079,16.64615382,15.16153849,12.94615379,11.40769232,10.33846158,9.161538418,8.176923165,7.930769297,8.946153861,9.653846227,11.4846154,14.25384617
Macenta,47,96,GIN,Guinea,8,Nzérékoré,,Region,32,Macenta,,Préfecture,2,-9.47690290,8.54310138,787,40,8078.73,495845,0.223613421,0.176836193,0.286036998,0.024420289,61.21412323,0,0.27762605,0,0,0,0,0,0,0.058823529,0.66355042,0,0,0,0,0,0,0,144.0028355,211.5610166,230.2341945,618.5538752,237.5494644,855.6795841,2423.323461,63.99170342,14.56521752,46.70434803,96.71304321,175.843478,205.5217371,253.5478237,333.6304348,425.8826068,395.8695626,235.3869549,110.326087,32.43478228,15.92608709,15.21304342,13.43043489,11.86086962,10.68260869,9.482608795,8.391304306,8.186956592,9.256521764,9.895652191,11.53043473,13.91304348
Mali,39,96,GIN,Guinea,6,Labé,,Region,24,Mali,,Préfecture,2,-12.28947426,12.08017435,5,0,8381.89,208339,0.072337529,0.040405296,0.109453812,0.016765862,24.65941349,0,0.04619538,0.211678832,0.742125787,0,0,0,0,0,0,0,0,0,0,0,0,0,390.445601,398.4273846,398.4273846,471.3899119,258.528723,2072.996097,1409.744696,113.272518,0.211111116,0.874074076,1.83333334,15.25555563,75.50370449,185.2703694,297.8999995,363.6444453,311.3259266,139.1037041,24.6888889,1.42592594,16.21851843,16.2962963,15.1814814,13.62592588,12.07777776,10.37037037,8.311111026,4.085185183,9.270370377,10.84444442,14.54444437,16.76666655
Mamou,42,96,GIN,Guinea,7,Mamou,,Region,27,Mamou,,Préfecture,2,-12.08667611,10.36966630,0,0,10239.05,371426,0.319568066,0.081272945,0.554035306,0.105864516,36.21963538,0.02389191,0.215439117,0.162712144,0.59795683,0,0,0,0,0,0,0,0,0,0,0,0,0,236.8169698,320.9037939,330.6385483,629.6588758,245.1506872,1538.470332,1759.146079,92.45856308,1.379999993,5.006666676,18.27333342,62.97000033,154.3299993,218.5499995,317.0333333,390.0333333,330.350001,201.0799983,44.50999966,4.3,15.53999996,15.18666671,13.84666675,12.2566666,10.42333336,9.120000013,7.586666695,6.033333317,8.476666673,9.863333289,12.26999995,15.10000003
Mandiana,29,96,GIN,Guinea,4,Kankan,,Region,14,Mandiana,,Préfecture,2,-9.15986218,11.09414334,0,0,11608.44,252272,0.107654954,0.008487559,0.162779361,0.038115782,21.7012487,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.1216981,195.1216981,216.396299,399.3253266,264.0169811,1787.149057,1346.399492,100.8193759,1.099999995,3.521212144,17.16363638,50.24545421,109.269697,182.6090906,271.4272697,328.3333333,264.1848501,111.6606052,18.64242424,2.199999992,17.48181829,16.89393939,14.94848494,13.17575755,11.76969696,10.41818171,9.109091239,8.657575838,9.787878932,11.20606061,14.84848488,17.03333346
Nzerekore,48,96,GIN,Guinea,8,Nzérékoré,,Region,33,Nzérékoré,N'Zérékoré,Préfecture,2,-8.81640407,7.75335666,269,9,4066.18,372266,0.257435782,0.207963407,0.297813296,0.019805112,91.31680104,0,0.038638262,0,0,0,0,0.151837928,0,0.805973267,0.003550543,0,0,0,0,0,0,0,156.7260588,156.7260588,156.7260588,514.0327561,240.9100772,933.8113916,2000.871271,63.09952013,11.99285705,44.98571369,104.4142859,162.1571415,176.1285727,214.1357149,257.8571418,335.557142,343.8714273,190.8785716,79.51428495,25.52142865,15.9714286,14.88571426,12.96428571,11.44285727,10.36428567,9.17857136,8.178571395,7.950000048,8.971428599,9.62857151,11.17142861,13.67142861
Pita,43,96,GIN,Guinea,7,Mamou,,Region,28,Pita,,Préfecture,2,-12.63891072,10.89829260,8,0,4519.87,263471,0.342482529,0.156987458,0.530272007,0.082570405,58.25552374,0,0,0.022718808,0.977281192,0,0,0,0,0,0,0,0,0,0,0,0,0,169.7938164,187.8610542,196.3365617,618.0759918,245.7249022,1569.388899,1982.079717,98.77425964,1.046666666,2.406666668,9.906666692,45.43333282,155.3933339,240.4066671,386.8466654,466.4133362,364.2199992,221.1399984,71.44666723,4.659999975,14.88666662,14.59333337,13.45333328,12.09333337,10.54666672,9.139999962,7.446666654,5.039999994,8.280000083,9.559999911,11.98666674,14.50666669
